time_ms,stream_id,bytes,sct_ms,e2e_ms,class,scheduler
1765685045345,704,51200,1636.79,1706.43,short,rr
1765685045358,708,51200,1636.80,1706.37,short,rr
1765685045361,716,51200,1599.67,1671.77,short,rr
1765685045395,712,51200,1632.95,1705.11,short,rr
1765685045446,720,51200,1668.84,1740.88,short,rr
1765685045448,728,51200,1632.93,1706.29,short,rr
1765685045460,732,51200,1629.10,1702.46,short,rr
1765685045518,740,51200,1593.16,1667.84,short,rr
1765685045551,736,51200,1626.50,1701.25,short,rr
1765685045577,744,51200,1627.79,1701.25,short,rr
1765685046818,748,51200,1593.17,1672.94,short,rr
1765685046880,752,51200,1627.71,1710.11,short,rr
1765685046898,760,51200,1589.28,1674.21,short,rr
1765685046919,756,51200,1625.14,1710.11,short,rr
1765685046975,764,51200,1616.25,1702.48,short,rr
1765685046976,768,51200,1614.89,1701.18,short,rr
1765685047005,772,51200,1641.91,1726.82,short,rr
1765685047030,776,51200,1602.13,1687.08,short,rr
1765685047043,784,51200,1594.54,1679.40,short,rr
1765685047066,788,51200,1547.10,1633.29,short,rr
1765685047066,780,51200,1618.89,1705.04,short,rr
1765685047114,792,51200,1562.49,1644.90,short,rr
1765685047149,796,51200,1571.48,1634.65,short,rr
1765685048053,0,575488,17147.47,17169.25,medium,rr
1765685048240,44,575488,17321.19,17355.84,medium,rr
1765685049726,260,575488,15628.47,15708.20,medium,rr
1765685049792,236,575488,15732.34,15815.89,medium,rr
1765685051003,412,575488,13783.82,13867.49,medium,rr
1765685051905,556,575488,12811.24,12892.25,medium,rr
1765685052434,612,575488,11817.76,11887.28,medium,rr
1765685059111,72,1521664,28192.17,28226.77,long,rr
1765685059121,40,1521664,28202.42,28237.08,long,rr
1765685059571,164,1521664,27065.69,27132.33,long,rr
1765685059597,188,1521664,27059.33,27129.77,long,rr
1765685060166,352,1521664,24462.74,24533.49,long,rr
1765685060187,388,1521664,24406.43,24482.33,long,rr
1765685060590,488,1521664,21769.97,21845.90,long,rr
1765685060620,524,1521664,21693.07,21769.01,long,rr
1765685060928,696,1521664,17270.38,17338.71,long,rr
